original title,body_title,body_stem_title,body_lem_title,body_desc,body_stem_desc,body_lem_desc,classification,País,Idioma,Origem,original description,Data de publicação
China se beneficiou financeiramente do novo coronavirus,china beneficiou financeiramente novo coronavirus,chin benefic financeir nov coronavirus,china beneficiar financeiramente novo coronavirus,contr rio diz imagem bolsas valores china sofreram pandemia dois ndices importantes pa s csi re ne maiores empresas bolsas xangai shenzhen xangai composto ca ram desde in cio ano al m disso surto coronav rus causou redu atividade econ mica china queda acentuada produ industrial vendas varejo aumento taxa desemprego primeiros dois meses,contr rio diz imag bols valor chin sofr pandem dois ndic import pa s csi re ne maior empres bols xanga shenzhen xanga compost ca ram desd in cio ano al m diss surt coronav rus caus redu ativ econ mic chin qued acentu produ industrial vend varej aument tax desempreg primeir dois mes,china beneficiar financeiramente novo coronavirus,Falso,,,,,
Beber agua e fazer gargarejos com sal ou vinagre nao impedem infeccao por coronavirus,beber agua fazer gargarejos sal vinagre nao impedem infeccao coronavirus,beb agu faz gargarej sal vinagr nao imped infecca coronavirus,beber agua fazer gargarejo sal vinagre em o impedir infeccao coronaviru,segundo minist rio sa brasil especialistas consultados fatos informa es s falsas podem piorar condi paciente informa es m dias sociais omitem ainda n existe medicamento tratamento curar covid,segund minist rio sa brasil especial consult fat inform es s fals pod pior cond pacient inform es m dias soc omit aind n exist medic tratament cur covid,beber agua fazer gargarejo sal vinagre em o impedir infeccao coronaviru,Falso,,,,,
Foto mostra homem que foi curado de COVID-19 por hidroxicloroquina,foto mostra homem curado covid hidroxicloroquina,fot mostr hom cur covid hidroxicloroquin,foto mostrar homem curar covid hidroxicloroquina,imagem reportagem emissora brasileira rbs publicada antes pandemia coronav rus qualquer caso registrado todo mundo homem walter hugo balestra pombo paciente enfisema pulmonar admitido uti hospital moinhos vento porto alegre devido tratamento enfisema pulmonar,imag reportag emissor brasileir rbs public antes pandem coronav rus qualqu cas registr tod mund hom walt hug balestr pomb pacient enfisem pulmon admit uti hospital moinh vent port alegr dev tratament enfisem pulmon,foto mostrar homem curar covid hidroxicloroquina,Parcialmente falso,,,,,
Agencia Nacional de Vigilancia Sanitaria aprova cloroquina / hidroxicloroquina como tratamento para o COVID-19,agencia nacional vigilancia sanitaria aprova cloroquina hidroxicloroquina tratamento covid,agenc nacional vigilanc sanit aprov cloroquin hidroxicloroquin tratament covid,agencia nacional vigilancia sanitaria aprovar cloroquina hidroxicloroquino tratamento covid,diferentemente publica es redes sociais sugerem libera cloroquina tratamento covid n ocorreu forma irrestrita garantia tamb m n veio anvisa ag ncia nacional vigil ncia sanit ria fato nota informativa minist rio sa brasil publicada mar autorizou uso medicamento indicou dosagem apenas pacientes hospitalizados estado grave outras palavras padr minist rio n permite medicamento vendido farm cias prescrito m dicos qualquer tratamento contra doen resultante novo coronav rus,diferent public es red soc sug lib cloroquin tratament covid n ocorr form irrestrit garant tamb m n vei anvis ag nci nacional vigil nci sanit ria fat not inform minist rio sa brasil public mar autoriz uso medic indic dosag apen pacient hospitaliz estad grav outr palavr padr minist rio n permit medic vend farm cias prescrit m dic qualqu tratament contr doen result nov coronav rus,agencia nacional vigilancia sanitaria aprovar cloroquina hidroxicloroquino tratamento covid,Parcialmente falso,,,,,
"Mike Ryan, diretor da OMS, disse que as medidas de isolamento pioram a pandemia",mike ryan diretor oms disse medidas isolamento pioram pandemia,mik ryan diretor oms diss med isol pior pandem,mike ryan diretor om dizer medida isolamento per pandemia,discurso completo ryan diretor sustenta quarentenas devem ser acompanhadas es preventivas informa caso pessoas doentes devem ocorrer outros locais al m pr prias casas nenhum momento duvida nega efic cia medida,discurs complet ryan diretor sustent quarenten dev ser acompanh es prevent inform cas pesso doent dev ocorr outr loc al m pr pri cas nenhum moment duv neg efic cia med,mike ryan diretor om dizer medida isolamento per pandemia,Falso,,,,,
232 criancas morreram do COVID-19 na Italia em um dia,criancas morreram covid italia dia,crianc morr covid ital dia,crianca morrer covid italia dia,segundo dados iss istituto superiore di sanit ag ncia governamental italiana at dados recentes pa s n havia registrado morte infantil devido novo coronav rus fato v timas jovens pa s faixa et ria anos,segund dad iss istitut superior di sanit ag nci governamental italian at dad recent pa s n hav registr mort infantil dev nov coronav rus fat v tim jovens pa s faix et ria anos,crianca morrer covid italia dia,Falso,,,,,
3.500 italianos potencialmente infectados com o novo coronavirus chegaram ao Brasil em um navio de cruzeiro,italianos potencialmente infectados novo coronavirus chegaram brasil navio cruzeiro,italian potencial infect nov coronavirus cheg brasil navi cruzeir,italiano potencialmente infectar novo coronavirus chegar brasil navio cruzeiro,foto compartilhada informa es incorretas cruzeiro costa fascinosa empresa respons vel navio informou todos passageiros brasil s am rica sul navio deixou it lia passou fran espanha est costa brasileira desde dois meses antes it lia confirmar primeiro caso coronav rus,fot compartilh inform es incorret cruzeir cost fascin empres respons vel navi inform tod passageir brasil s am ric sul navi deix it lia pass fran espanh est cost brasileir desd dois mes antes it lia confirm primeir cas coronav rus,italiano potencialmente infectar novo coronavirus chegar brasil navio cruzeiro,Falso,,,,,
"O Banco Mundial classificou o Brasil como o melhor pais em combate ao COVID-19""""",banco mundial classificou brasil melhor pais combate covid,banc mundial classific brasil melhor pais combat covid,banco mundial classificar brasil bom pai combate covid,documento banco mundial publica refere n faz afirma texto trata gest riscos facilita rcio meio pandemia menciona apenas redu tempor ria al quota imposto importa produtos anti s pticos adotada brasil exemplo melhores pr ticas lidar covid,document banc mundial public refer n faz afirm text trat gest risc facilit rci mei pandem mencion apen redu tempor ria al quot impost import produt anti s ptic adot brasil exempl melhor pr tic lid covid,banco mundial classificar brasil bom pai combate covid,Falso,,,,,
Notificacao de emergencia do Departamento de Saude do Canada recomenda que pessoas mantenham a garganta umida para se proteger do novo coronavirus,notificacao emergencia departamento saude canada recomenda pessoas mantenham garganta umida proteger novo coronavirus,notificaca emergenc depart saud can recomend pesso mantenh gargant umid proteg nov coronavirus,notificacao emergencio departamento saude canada recomendar pessoa manter garganta umir proteger novo coronavirus,boletim falso n h evid ncias cient ficas mostrem gua pot vel evite coronav rus,boletim fals n h evid nci cient fic mostr gua pot vel evit coronav rus,notificacao emergencio departamento saude canada recomendar pessoa manter garganta umir proteger novo coronavirus,Falso,,,,,
Governo brasileiro liberou dinheiro adicional para os beneficiarios do Bolsa Familia,governo brasileiro liberou dinheiro adicional beneficiarios bolsa familia,govern brasileir liber dinheir adicional beneficiari bols famil,governo brasileiro liberar dinheiro adicional beneficiario bolsa familia,minist rio cidadania respons vel programa negou redes sociais divulga afirmou anunciava apenas inclus milh fam lias bolsa fam lia programa nacional transfer ncia condicionada renda mensagens circulando whatsapp link informa es erradas sites falsos,minist rio cidadan respons vel program neg red soc divulg afirm anunc apen inclus milh fam lias bols fam lia program nacional transf nci condicion rend mensagens circul whatsapp link inform es errad sit fals,governo brasileiro liberar dinheiro adicional beneficiario bolsa familia,Falso,,,,,
O H1N1 foi mais letal que o COVID-19 no Brasil,h n letal covid brasil,h n letal covid brasil,h n letal covid brasil,informa es s enganosas comparar n mero casos primeiras semanas covid brasil oito meses acumulados gripe su dias desde chegada pa s novo coronav rus infectou pessoas matou h n infectou pessoas matou primeiro m s,inform es s engan compar n mer cas primeir seman covid brasil oit mes acumul grip su dias desd cheg pa s nov coronav rus infect pesso mat h n infect pesso mat primeir m s,h n letal covid brasil,Falso,,,,,
Israel esta combatendo o coronavirus sem isolamento social e pouco impacto economico,israel combatendo coronavirus isolamento social pouco impacto economico,israel combat coronavirus isol social pouc impact econom,israel combater coronavir isolamento social pouco impacto economico,dois regulamentos emerg ncia j aprovados governo israel restringem movimento pessoas todas idades tamb m falso economia sistema sa pa s n sendo afetados pandemia governo estimou pib pa s n crescer ano alertou falta respiradores hospitais,dois regul emerg nci j aprov govern israel restring moviment pesso tod idad tamb m fals econom sistem sa pa s n send afet pandem govern estim pib pa s n cresc ano alert falt respir hospit,israel combater coronavir isolamento social pouco impacto economico,Falso,,,,,
"Apos revisao, Estado de Sao Paulo registrou apenas 26 mortes pela COVID-19",apos revisao estado sao paulo registrou apenas mortes covid,apos revisa estad sao paul registr apen mort covid,apos revisao estado ser paulo registrar apenas morte covid,mensagens s enganosas tratar dois conjuntos diferentes dados mesma coisa diagn stico mortes suspeitas n mero total mortes novo coronav rus confirmado estado,mensagens s engan trat dois conjunt diferent dad mesm cois diagn stic mort suspeit n mer total mort nov coronav rus confirm estad,apos revisao estado ser paulo registrar apenas morte covid,Falso,,,,,
Videos mostram chineses disseminando o coronavirus em outros paises,videos mostram chineses disseminando coronavirus outros paises,vid mostr chines dissemin coronavirus outr pais,video mostrar chinês disseminar coronavirus outro pais,grava es pessoas aparecem cuspindo esfregando fluidos contaminados bancos paredes elevadores cinco grava es fatos identificou tr s n t m nada ver atual pandemia outras duas n origem contexto identificado,grav es pesso aparec cusp esfreg flu contamin banc pared elev cinc grav es fat identific tr s n t m nad ver atual pandem outr duas n orig context identific,video mostrar chinês disseminar coronavirus outro pais,Falso,,,,,
Rede Globo publicou uma foto dos mortos do naufragio Lampedusa como se fossem vitimas do COVID-19 ,rede globo publicou foto mortos naufragio lampedusa vitimas covid,red glob public fot mort naufragi lampedus vitim covid,rede globo publicar foto matar naufragio lampedusa vitimo covid,imagem mostra caix es imigrantes mortos trag dia ilha lampedusa fatos n encontrou evid ncias emissora usado registro contexto original g site faz parte grupo globo negou informa es erradas circularam mar atribuiu mesma imagem caix es pandemia,imag mostr caix es imigr mort trag dia ilha lampedus fat n encontr evid nci emissor usad registr context original g sit faz part grup glob neg inform es errad circul mar atribu mesm imag caix es pandem,rede globo publicar foto matar naufragio lampedusa vitimo covid,Falso,,,,,
Governo brasileiro iniciou o processo de registro do auxilio financeiro em razao do coronavirus pelo WhatsApp,governo brasileiro iniciou processo registro auxilio financeiro razao coronavirus whatsapp,govern brasileir inic process registr auxili financeir raza coronavirus whatsapp,governo brasileiro iniciar processo registro auxilio financeiro razao coronaviru whatsapp,mensagem acompanhada links podem ser usados roubar dados pessoais redirecionar usu rios sites suspeitos informa falsa negada governo brasileiro minist rios cidadania economia,mensag acompanh links pod ser usad roub dad pesso redirecion usu rios sit suspeit inform fals neg govern brasileir minist rios cidadan econom,governo brasileiro iniciar processo registro auxilio financeiro razao coronaviru whatsapp,Falso,,,,,
Governo federal liberou saques de um fundo previdenciario para auxiliar familias em meio a pandemia do novo coronavirus,governo federal liberou saques fundo previdenciario auxiliar familias meio pandemia novo coronavirus,govern federal liber saqu fund previdenciari auxili famil mei pandem nov coronavirus,governo federal liberar saque fundo previdenciario auxiliar familia meio pandemia novo coronavirus,fundo n existe link acompanha texto redes sociais leva endere suspeito pode n apenas roubar dados pessoais usu rios tamb m deixa celulares vulner veis invas es,fund n exist link acompanh text red soc lev ender suspeit pod n apen roub dad pesso usu rios tamb m deix celul vuln veis invas es,governo federal liberar saque fundo previdenciario auxiliar familia meio pandemia novo coronavirus,Falso,,,,,
Grafico mostra que COVID-19 matou menos pessoas diariamente do que outras doencas,grafico mostra covid matou menos pessoas diariamente outras doencas,grafic mostr covid mat men pesso diari outr doenc,grafico mostrar covid matar pouco pessoa diariamente outro doenca,al m aplicar dados antigos fevereiro gr fico ignora n mero mortes di rias causadas pandemia vem crescendo rapidamente mortalidade m dia di ria saltou primeiro m s infec segundo especialistas consultados fatos afirmam compara outras doen oculta gravidade situa atual porque mortalidade novo coronav rus n alta espalha rapidamente sobrecarrega sistemas sa,al m aplic dad antig fevereir gr fic ignor n mer mort di rias caus pandem vem cresc rapid mortal m dia di ria salt primeir m s infec segund especial consult fat afirm comp outr doen ocult gravidad situ atual porqu mortal nov coronav rus n alta espalh rapid sobrecarreg sistem sa,grafico mostrar covid matar pouco pessoa diariamente outro doenca,Parcialmente falso,,,,,
O hospital de campanha construido em um estadio de futebol de Sao Paulo (Brasil) para receber pacientes do COVID-19 esta vazio,hospital campanha construido estadio futebol sao paulo brasil receber pacientes covid vazio,hospital campanh constru estadi futebol sao paul brasil receb pacient covid vazi,hospital campanha construir estadio futebol ser paulo brasil receber paciente covid vazio,abril v deo supostamente feito unidade municipal sa s paulo j terceiro dia opera atendendo pessoas aguardando menos outros pacientes,abril v deo supost feit unidad municipal sa s paul j terceir dia oper atend pesso aguard men outr pacient,hospital campanha construir estadio futebol ser paulo brasil receber paciente covid vazio,Falso,,,,,
Israel encontrou cura e vacina para o coronavirus,israel encontrou cura vacina coronavirus,israel encontr cur vacin coronavirus,israel encontrar cura vacina coronaviru,reportagem v deo compartilhada postagens mostra processo desenvolvimento vacina segundo cientistas pode estar dispon vel maio nenhum momento v deo afirma medicamento j existe encontrada cura infec novo coronav rus,reportag v deo compartilh postagens mostr process desenvolv vacin segund cientist pod estar dispon vel mai nenhum moment v deo afirm medic j exist encontr cur infec nov coronav rus,israel encontrar cura vacina coronaviru,Falso,,,,,
Medicos recomendam vitamina C e cha de erva-doce para ajudar a evitar o novo coronavirus,medicos recomendam vitamina c cha erva doce ajudar evitar novo coronavirus,medic recomend vitamin c cha erva doc ajud evit nov coronavirus,medico recomendar vitamina c cha erva doce ajudar evitar novo coronavirus,n h evid ncias cient ficas apoiar alega vitamina c ch sementes erva doce s eficazes tratamento preven novo coronav rus,n h evid nci cient fic apoi aleg vitamin c ch sement erva doc s eficaz tratament preven nov coronav rus,medico recomendar vitamina c cha erva doce ajudar evitar novo coronavirus,Falso,,,,,
Ministerio da Saude do Brasil sugeriu que parentes das vitimas da COVID-19 deveriam duvidar dos atestados de obito,ministerio saude brasil sugeriu parentes vitimas covid deveriam duvidar atestados obito,ministeri saud brasil suger parent vitim covid dev duvid atest obit,ministerio saudir brasil sugerir parente vitimo covid dever duvidar atestado obito,recomenda circula m dias sociais oficial negada assessoria minist rio sa brasil n aparece diretrizes governo brasileiro sobre gerenciamento rg contexto novo coronav rus,recomend circul m dias soc oficial neg assessor minist rio sa brasil n aparec diretriz govern brasileir sobr gerenc rg context nov coronav rus,ministerio saudir brasil sugerir parente vitimo covid dever duvidar atestado obito,Falso,,,,,
